transaction_id,customer_id,age,account_balance,transaction_amount,transaction_type,merchant_category,device_type,transaction_location,is_foreign_transaction,failed_attempts_last_24h,avg_transaction_amount,transaction_frequency_24h,amount_deviation,is_fraud
TXN0,CUST1637,40,159922,1051.94,Online,Travel,Mobile,Nigeria,1,0,1501,1,449.06,0
TXN1,CUST1120,43,241128,5479.01,Online,Restaurant,Web,India,0,4,4185,7,1294.01,1
TXN2,CUST449,21,202820,5079.43,ATM,Electronics,Mobile,India,0,4,3638,5,1441.43,1
TXN3,CUST1214,46,333110,372.36,POS,Travel,Web,UK,0,1,1105,9,732.64,0
TXN4,CUST440,19,1988,2945.75,ATM,Travel,Mobile,India,0,1,4187,7,1241.25,0
TXN5,CUST1752,40,465503,2508.22,UPI,Grocery,Web,UK,1,2,3668,7,1159.78,0
TXN6,CUST563,42,9090,362.41,UPI,Travel,Mobile,UK,0,5,2096,2,1733.59,1
TXN7,CUST821,65,285061,2217.52,POS,Travel,Mobile,UK,1,2,3826,9,1608.48,0
TXN8,CUST926,62,403392,1442.7,POS,Grocery,Web,USA,1,3,2054,1,611.3,0
TXN9,CUST1352,35,223410,589.97,UPI,Grocery,Web,Nigeria,1,3,663,4,73.03,0
TXN10,CUST341,19,317146,2661.24,ATM,Travel,Web,USA,0,0,3099,5,437.76,0
TXN11,CUST1354,68,147144,4114.47,POS,Travel,Mobile,India,0,2,4723,3,608.53,0
TXN12,CUST1838,26,465362,1340.42,UPI,Grocery,Mobile,USA,1,0,764,9,576.42,0
TXN13,CUST1048,25,382695,2011.33,UPI,Restaurant,Mobile,USA,1,0,1699,5,312.33,0
TXN14,CUST1871,45,423363,812.97,UPI,Restaurant,Web,UK,1,4,1316,7,503.03,1
TXN15,CUST1791,63,428861,3223.54,UPI,Restaurant,Web,UK,1,3,3769,5,545.46,0
TXN16,CUST930,22,165092,1954.68,POS,Electronics,Web,India,0,3,2126,6,171.32,0
